epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.887269914150238,0.9435487985610962,9.999999747378752e-06,0.6558170318603516,0.875,1.0,0.1889655888080597
1,0.9215874075889587,0.9647548794746399,9.999999747378752e-06,0.32233673334121704,1.0,1.0,0.09002019464969635
2,0.9208205342292786,0.9729501605033875,9.999999747378752e-06,0.236799418926239,1.0,1.0,0.07166354358196259
3,0.918519914150238,0.974056601524353,9.999999747378752e-06,0.22729626297950745,1.0,1.0,0.06401149928569794
4,0.9213957190513611,0.977936863899231,9.999999747378752e-06,0.19749492406845093,1.0,1.0,0.06280045211315155
5,0.9281058311462402,0.9780138731002808,9.999999747378752e-06,0.1990058571100235,1.0,1.0,0.06132301315665245
6,0.9323236346244812,0.9830901622772217,9.999999747378752e-06,0.16297119855880737,1.0,1.0,0.05314822494983673
7,0.9305981397628784,0.9809421896934509,9.999999747378752e-06,0.17340640723705292,1.0,1.0,0.053018614649772644
8,0.9348159432411194,0.9833820462226868,9.999999747378752e-06,0.1625274270772934,1.0,1.0,0.05320659279823303
9,0.9359662532806396,0.9848729372024536,9.999999747378752e-06,0.15389971435070038,1.0,1.0,0.05049270763993263
